,company,date,title,location,qualification,working_hours,job_field,link,gross_salary
0,MATCH · Agencia-consultora,"November 11, 2022",Design UX/UI Semi Senior,Santiago(hybrid),Semi Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/desing-ux-ui-semi-senior-match-agencia-consultora-santiago,Gross Salary$1600 - 2200USD/month
1,2Brains,"November 11, 2022",Practicante Digital Designer,Santiago(hybrid),Unknown,Internship,Design / UX,https://www.getonbrd.com/jobs/design-ux/practicante-digital-designer-2brains-santiago,Unknown
2,2Brains,"November 11, 2022",Product Designer Senior,Santiago(hybrid),Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/product-designer-senior-2brains-santiago,Unknown
3,2Brains,"November 11, 2022",UX Designer,Santiago(hybrid),Semi Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/ux-designer-2brains-santiago-f6b5,Unknown
4,2Brains,"November 11, 2022",Email MKT Designer Semi Senior,Santiago(hybrid),Semi Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/email-mkt-designer-semi-senior-2brains-santiago,Unknown
5,Lima Innovation Lab,"November 11, 2022",UX Designer Specialist,Remote(North America and South America),Semi Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/ux-designer-specialist-lima-innovation-lab-remote,Gross Salary$1100 - 1300USD/month
6,Alegra,"November 11, 2022",UX/UI Designer Leader,Remote(Colombia),Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/ux-ui-designer-leader-websites-alegra-remote,Gross Salary$1800 - 2400USD/month
7,Prestamype,"November 10, 2022",UX Designer,Lima(hybrid),Semi Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/ux-designer-prestamype-lima,Gross Salary$1000 - 1500USD/month
8,BICE VIDA,"November 10, 2022",UX/ UI Designer,Santiago(hybrid),Semi Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/ux-ux-designer-bice-vida-santiago,Gross Salary$1900 - 2300USD/month
9,2Brains,"November 10, 2022",UI Designer Semi Senior,Santiago(hybrid),Semi Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/ui-designer-semi-senior-2brains-santiago-97af,Unknown
10,2Brains,"November 10, 2022",UI Designer Senior,Santiago(hybrid),Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/ui-designer-senior-2brains-santiago-feac,Net Salary$2100 - 2400USD/month
11,2Brains,"November 10, 2022",UX Designer Senior,Remote,Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/ux-designer-senior-2brains-santiago-d90a,Unknown
12,Rindegastos,"November 08, 2022",UX Research,Remote(Chile),Junior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/ux-research-rindegastos-remote,Unknown
13,PROMART,"November 07, 2022",Service Designer,Lima(hybrid),Semi Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/strategic-project-designer-promart-lima,Unknown
14,MATCH · Agencia-consultora,"November 04, 2022",UI Designer,Santiago(hybrid),Semi Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/ui-designer-match-agencia-consultora-santiago,Unknown
15,Tucar,"November 04, 2022",Práctica Diseño Gráfico,Santiago(hybrid),Unknown,Internship,Design / UX,https://www.getonbrd.com/jobs/design-ux/practica-universitaria-diseno-grafico-ux-tucar-santiago,Unknown
16,Boosmap,"November 03, 2022",UX / UI Designer,Santiago(Chile),Semi Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/ux-ui-designer-boosmap-santiago-709f,Unknown
17,BCP,"November 02, 2022",Sx Designer Middle,Lima(hybrid),Semi Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/sx-designer-middle-bcp-lima-c601,Gross Salary$1400 - 1500USD/month
18,Ripley,"November 02, 2022",UX Lead,Santiago(hybrid),Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/ux-lead-ripley-santiago,Unknown
19,Moventi,"October 27, 2022",UI Designer,Remote(Peru),Semi Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/disenador-ui-moventi-lima,"Gross Salary$1,600USD/month"
20,2Brains,"October 27, 2022",Digital Designer Semi Senior,Santiago(hybrid),Semi Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/digital-designer-semi-senior-2brains-santiago,Gross Salary$1300 - 1400USD/month
21,BluStore,"October 25, 2022",Practicante de Diseño Blu/Store,Santiago(Chile),Unknown,Internship,Design / UX,https://www.getonbrd.com/jobs/design-ux/practicante-de-diseno-blu-store-blustore-santiago,Gross Salary$200 - 300USD/month
22,Salfa,"October 25, 2022",Diseñador,Santiago(hybrid),Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/disenador-salfa-santiago,Gross Salary$1500 - 2000USD/month
23,kupos.com,"October 21, 2022",Junior Graphic Designer,Santiago(hybrid),Junior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/junior-graphic-designer-kupos-com-santiago-eefc,Gross Salary$900 - 1200USD/month
24,ODD INDUSTRIES SPA,"October 20, 2022",UI/UX Designer,Remote,Semi Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/ui-ux-designer-odd-industries-spa-remote-f301,"Gross Salary$1,500USD/month"
25,2Brains,"October 19, 2022",Service Designer Senior,Remote(Chile),Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/service-designer-2brains-santiago,Unknown
26,KLog.co,"October 19, 2022",Practicantes Diseñador/a Gráfico,Santiago(Chile),No experience required,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/practicantes-disenador-a-grafico-klog-co-santiago,Unknown
27,Nisum Chile,"October 17, 2022",Diseñador UI,Santiago(hybrid),Semi Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/disenador-ui-nisum-chile-santiago,Net Salary$1600 - 2200USD/month
28,Nisum Chile,"October 17, 2022",Diseñador UX/UI,Santiago(hybrid),Semi Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/disenador-ux-ui-nisum-chile-santiago-ba73,Net Salary$1600 - 2200USD/month
29,Lado Norte,"October 17, 2022",Diseñador Web,Remote(Chile),Semi Senior,Part time,Design / UX,https://www.getonbrd.com/jobs/design-ux/disenador-web-lado-norte-remote,Unknown
30,Topsort,"October 13, 2022",Product Designer,Remote,Junior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/product-designer-topsort-remote-b660,Unknown
31,Klare,"October 13, 2022",Diseñador/a UX/UI Semisr,Remote(Chile),Semi Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/disenador-a-ux-ui-semisr-klare-remote,Unknown
32,MEAT Cöde,"October 07, 2022",Diseñador(a) Semi Senior UX/UI,Remote(Chile),Semi Senior,Full time,Design / UX,https://www.getonbrd.com/jobs/design-ux/disenador-a-semi-senior-ux-ui-meat-code-remote,Net Salary$950 - 1400USD/month
